failCount_month,lifeTime_month,activeLife_month
2,95731199,95731189
2,104231168,104024607
1,104318995,104820172
2,101810932,94867200
2,100358771,102556800
3,99923008,91843200
0,100356177,100224000
7,98798337,100051200
0,98435099,99964800
2,96368211,95659532
2,30192007,31622400
2,96024493,97545600
3,94465390,94780800
3,93604918,78969600
2,92494498,81648000
3,87311090,73699200
1,306138937,107568000
2,92491431,82687371
2,91800254,87099853
2,90846565,92361600
2,89628070,65750400
2,88866457,89424000
2,87658611,84153600
5,87656381,89510400
2,86689426,84240000
0,87550125,13219200
2,87042584,89596800
2,86014572,58147200
2,86054399,79315192
2,84889296,82570189
2,84873385,71193600
3,84886406,86648898
2,84185630,70046773
2,306054350,260496000
2,82732334,83042334
3,81519500,83808000
1,80917444,73612800
2,298870480,184544986
8,79443454,81648000
2,46612338,49009415
2,76340391,68001173
2,74524003,73305722
2,76250049,62991758
2,76081885,75045496
2,75636941,44841600
0,75215153,76204800
3,75207681,76377600
3,73820207,73612800
2,72442825,73530921
4,72778013,73872000
2,71579803,73353600
2,70532761,68428800
2,69597166,68668599
2,69150047,68342400
1,66644347,63072000
2,63617277,60912000
2,61823548,18489600
3,61653307,63331200
3,61648580,60918370
2,58622006,57111103
5,57914221,52704000
1,54565382,47347200
5,52124732,52790400
2,50929051,51246869
4,50245202,50112000
0,50750790,41978852
2,50650285,51562688
3,50656257,41832017
2,50231077,48449055
2,49465934,45939946
2,48939328,50359414
3,48927833,47606400
1,48242690,50025600
2,47381035,48548402
2,47308455,49083044
2,45487455,43981726
2,44867723,45502686
2,43146844,44841600
2,35806453,31708800
2,40557486,39484800
2,33043000,34300800
2,39686428,42076800
1,39185936,39484800
1,39959961,42345099
2,38654328,39484800
1,38652686,36806400
8,38656381,39484800
2,38313046,39484800
2,37978872,39484800
4,37693839,39484800
2,37967023,33955200
2,37698680,39484800
0,37631457,39484800
2,37455323,39484800
2,36832235,36806400
2,26043109,26352000
4,35110264,36806400
2,35641921,31708800
8,34852964,36806400
1,35127331,23587200
2,33905067,34300800
2,34250062,31536000
2,33722461,31708800
3,34249502,36633600
2,32767582,34300800
2,33975055,34300800
2,33309246,34387200
2,33828124,34300800
2,33301461,34300800
2,15850606,15638400
2,32964074,34082814
2,32094954,18403200
2,31831213,31708800
2,31735167,34128000
2,31738577,34128000
2,31648838,34036339
2,30966748,28944000
2,29675638,31716836
2,30871707,23587200
2,30877790,31622400
1,30536766,29030400
2,29681928,28857600
2,29682001,30729448
2,19975271,21081600
2,28449139,26524800
2,28473230,18316800
3,304418888,220665600
4,28299648,28944000
2,27865993,29030400
2,27854858,29030400
2,27602660,29030400
3,26293516,23673600
2,26285860,28684800
3,26300545,26352000
2,26051419,26352000
2,25246321,26352000
2,17482464,18403200
2,25348022,26352000
7,319360088,181526400
4,25431407,26265600
2,25349917,13132800
2,24844355,26352000
1,24757981,26352000
4,23967275,23673600
2,23542778,23760000
4,23268124,23760000
2,22760559,23760000
4,22833449,23760000
2,22053536,23760000
2,21535875,23760000
4,22059780,23760000
2,21013850,23328000
2,21449231,23760000
2,21019655,23414400
2,19359858,21081600
2,20002177,21081600
2,19738539,13046400
2,19646622,15724800
3,19293080,20995200
