Месяц,Всего аварий,Аварии простой,Аварии макс,Время жизни,Время активности,Звонков,Отбитые звонки,Неотвеченные,Цена тарифа,Скорость тарифа,Доп услуги,Смотрешка,Пол,Платежей,Тип платежа,Сумма платежей,Сервисная заявка,Отток
4,6,27239,8569,8492823,7948800,6,1,2,850,10,0,0,1,2,5,1850,5,0
4,8,42899,24229,3486033,2678400,2,0,0,700,5,0,0,1,2,4,4800,0,0
4,5,20880,8569,1237358,0,2,1,0,850,10,1,0,1,2,5,4000,0,0
4,3,2760,2040,15501421,15638400,0,0,0,500,20,0,0,1,2,6,800,0,0
4,1,60,60,9015535,10368000,3,0,0,800,50,1,0,1,2,6,1400,1,0
4,4,10080,8293,114690841,68342400,2,0,0,800,100,1,0,1,2,6,1755,0,0
4,2,6534,6354,322196694,311786516,1,0,0,700,25,0,0,1,2,6,1400,0,0
4,2,6534,6354,284459460,283996800,1,0,0,500,20,1,0,1,2,6,1200,1,0
4,2,240,240,302591683,187056000,1,0,0,500,20,1,0,1,1,3,184,0,0
4,2,6534,6354,299924275,287967210,4,1,0,700,25,1,0,1,1,3,600,4,0
4,3,11640,11220,277562531,260668800,1,0,0,500,50,1,0,1,2,6,1400,0,0
4,1,3360,3360,179493802,168991315,0,0,0,850,8,0,0,1,2,6,1400,0,0
4,2,6241,6180,178353936,177120000,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,1,3360,3360,178110455,160757849,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,4,10140,8334,177600594,174441600,0,0,0,650,40,1,0,1,2,6,1100,0,0
4,12,146460,85544,177768409,179712000,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,1,3360,3360,177683912,140572800,1,0,0,850,8,0,0,1,2,6,1500,0,0
4,1,3360,3360,177504641,153273600,0,0,0,850,8,0,1,1,2,6,1500,0,0
4,13,146460,85648,177510997,171893744,0,0,0,850,8,0,0,1,0,0,0,0,0
4,13,146280,85524,175332673,174441600,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,1,3360,3360,176727607,174355200,0,0,0,850,8,0,0,1,2,6,1800,0,0
4,1,3300,3300,177417670,79056000,0,0,0,850,8,0,0,1,0,0,0,0,0
4,2,4680,3300,175171335,174182400,0,0,0,850,8,0,0,1,2,6,1700,0,0
4,1,3360,3360,176120325,174268800,0,0,0,850,8,0,0,1,2,3,1800,0,0
4,4,13228,9930,173313912,166492800,1,0,0,850,8,1,0,1,2,6,1600,0,0
4,1,3360,3360,174918545,174441600,0,0,0,850,8,0,0,1,2,3,800,0,0
4,13,146280,85524,174391018,171763200,0,0,0,850,8,0,0,1,2,6,1700,0,0
4,1,6180,6180,173964954,161481600,0,0,0,1100,12,0,0,1,2,6,2000,0,0
4,2,10993,10993,135772524,113184000,0,0,0,650,100,0,1,1,1,3,650,0,0
4,12,146580,85578,173275816,150422400,0,0,0,850,8,0,0,1,2,3,1670,0,1
4,15,51059,17100,172743405,171590400,0,0,0,850,8,0,0,1,2,6,1800,0,0
